#time[sec] output_ch0 output_ch1
3.450000000000000003e-06 1.476643094352065588e-01 2.980886994206038976e-01
3.459999999999999907e-06 8.142237623062791030e-02 3.008487799707946220e-01
3.470000000000000235e-06 9.246269843139101607e-02 3.091290216213669617e-01
3.480000000000000139e-06 4.692136935324320302e-02 3.270695451976070589e-01
3.490000000000000043e-06 6.624193320457863465e-02 3.394899076734654852e-01
3.499999999999999947e-06 6.900201375476941457e-02 3.477701493240378250e-01
3.510000000000000275e-06 6.072177210419708177e-02 3.560503909746101647e-01
3.520000000000000180e-06 8.418245678081867633e-02 3.615705520749917246e-01
3.530000000000000084e-06 8.418245678081867633e-02 3.726108742757547887e-01
3.539999999999999988e-06 9.522277898158179599e-02 3.836511964765179639e-01
3.549999999999999892e-06 1.021229803570587319e-01 3.919314381270903036e-01
3.560000000000000220e-06 1.145433428329172415e-01 4.029717603278534233e-01
3.570000000000000124e-06 1.214435442083941635e-01 4.112520019784257075e-01
3.580000000000000029e-06 1.352439469593480492e-01 4.236723644542841893e-01
3.589999999999999933e-06 1.407641080597296090e-01 4.333326463799519468e-01
3.600000000000000261e-06 1.504243899853973110e-01 4.416128880305242865e-01
3.610000000000000165e-06 1.614647121861604306e-01 4.471330491309057908e-01
3.620000000000000069e-06 1.697449538367327426e-01 4.623134921569551081e-01
3.629999999999999973e-06 1.794052357624004723e-01 4.678336532573366680e-01
3.639999999999999878e-06 1.918255982382589819e-01 4.816340560082905675e-01
3.650000000000000205e-06 2.001058398888313217e-01 4.912943379339582139e-01
3.660000000000000110e-06 2.111461620895944136e-01 5.023346601347213891e-01
3.670000000000000014e-06 2.194264037401667533e-01 5.106149017852936733e-01
3.679999999999999918e-06 2.332268064911205974e-01 5.175151031607705399e-01
3.690000000000000246e-06 2.442671286918837170e-01 5.244153045362476284e-01
3.700000000000000150e-06 2.470272092420744969e-01 5.395957475622968902e-01
3.710000000000000054e-06 2.594475717179330343e-01 5.492560294879644811e-01
3.719999999999999959e-06 2.677278133685053185e-01 5.561562308634415697e-01
3.730000000000000286e-06 2.773880952941730205e-01 5.699566336143953027e-01
3.740000000000000191e-06 2.898084577700315578e-01 5.782368752649676980e-01
3.750000000000000095e-06 2.980886994206038976e-01 5.878971571906353999e-01
3.759999999999999999e-06 3.105090618964623794e-01 5.975574391163031018e-01
3.769999999999999904e-06 3.146491827217485215e-01 6.072177210419708038e-01
3.780000000000000231e-06 3.229294243723208613e-01 6.265382848933063187e-01
3.790000000000000136e-06 3.463901090489424628e-01 6.389586473691647450e-01
3.800000000000000040e-06 3.436300284987516829e-01 6.444788084695463048e-01
3.809999999999999944e-06 3.615705520749917246e-01 6.499989695699278647e-01
3.819999999999999848e-06 3.629505923500871423e-01 6.555191306703094245e-01
3.829999999999999753e-06 3.739909145508502064e-01 6.651794125959772375e-01
